"filename", "language", "Python", "comment", "blank", "total"
"/home/pes/kaban_project/kaban_system2/Core/__init__.py", "Python", 0, 0, 1, 1
"/home/pes/kaban_project/kaban_system2/Core/capture.py", "Python", 14, 0, 8, 22
"/home/pes/kaban_project/kaban_system2/Core/config.py", "Python", 1, 0, 3, 4
"/home/pes/kaban_project/kaban_system2/Core/core.py", "Python", 27, 0, 7, 34
"/home/pes/kaban_project/kaban_system2/bot/__init__.py", "Python", 0, 0, -1, -1
"/home/pes/kaban_project/kaban_system2/bot/db_bot/__init__.py", "Python", 0, 0, -1, -1
"/home/pes/kaban_project/kaban_system2/bot/db_bot/db_bot_meneger.py", "Python", -131, 0, -31, -162
"/home/pes/kaban_project/kaban_system2/bot/db_bot/fun_add_bot.py", "Python", -19, -2, -6, -27
"/home/pes/kaban_project/kaban_system2/bot/keyboard.py", "Python", -37, 0, -13, -50
"/home/pes/kaban_project/kaban_system2/bot/main_bot/__init__.py", "Python", 0, 0, -1, -1
"/home/pes/kaban_project/kaban_system2/bot/main_bot/bot.py", "Python", -29, -2, -11, -42
"/home/pes/kaban_project/kaban_system2/bot/ui_bot/ui_bot.py", "Python", -28, 0, -6, -34
"Total", "-", -202, -4, -51, -257
